index,time_seconds,latitude,longitude,rel_alt,abs_alt
535,17.815,32.104899,35.205462,117.4,802.441
536,17.849,32.104899,35.205462,117.4,802.441
537,17.882,32.104908,35.205462,117.4,802.441
538,17.916,32.104908,35.205462,117.4,802.441
539,17.949,32.104908,35.205462,117.4,802.441
540,17.982,32.104917,35.205462,117.4,802.441
541,18.016,32.104917,35.205462,117.4,802.441
542,18.049,32.104917,35.205462,117.4,802.441
543,18.082,32.104926,35.205462,117.4,802.441
544,18.116,32.104926,35.205462,117.4,802.441
545,18.149,32.104926,35.205462,117.4,802.441
546,18.182,32.104935,35.205462,117.4,802.441
547,18.216,32.104935,35.205462,117.4,802.441
548,18.249,32.104935,35.205462,117.4,802.441
549,18.283,32.104943,35.205462,117.4,802.441
550,18.316,32.104943,35.205462,117.4,802.441
551,18.349,32.104943,35.205462,117.4,802.441
552,18.383,32.104952,35.205463,117.4,802.441
553,18.416,32.104952,35.205463,117.4,802.441
554,18.449,32.104952,35.205463,117.4,802.441
555,18.483,32.104961,35.205463,117.4,802.441
556,18.516,32.104961,35.205463,117.4,802.441
557,18.549,32.104961,35.205463,117.4,802.441
558,18.583,32.10497,35.205463,117.4,802.441
559,18.616,32.10497,35.205463,117.4,802.441
560,18.65,32.10497,35.205463,117.4,802.441
561,18.683,32.104979,35.205463,117.4,802.441
562,18.716,32.104979,35.205463,117.4,802.441
563,18.75,32.104979,35.205463,117.4,802.441
564,18.783,32.104988,35.205464,117.4,802.441
565,18.816,32.104988,35.205464,117.4,802.441
566,18.85,32.104988,35.205464,117.4,802.441
567,18.883,32.104997,35.205464,117.5,802.541
568,18.916,32.104997,35.205464,117.5,802.541
569,18.95,32.104997,35.205464,117.5,802.541
570,18.983,32.105006,35.205464,117.5,802.541
571,19.017,32.105006,35.205464,117.5,802.541
